Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
0,"(X=0.0,Y=0.0,Z=0.0)","0.017073","0.017073",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1,"(X=0.0,Y=0.0,Z=0.0)","0.4","0.417073",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=697.907715,Y=160.467346,Z=-221.611145)","(Pitch=0.0,Yaw=-145.417633,Roll=0.0)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
2,"(X=697.907715,Y=160.467346,Z=-221.611145)","0.4","0.817073",StaticMeshActor_16,"(X=692.418884,Y=150.058716,Z=-187.168747)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.75,Y=1.75,Z=1.75)","(X=3.136474,Y=5.947788,Z=-19.68137)","(X=0.0,Y=0.0,Z=-1.0)","(X=0.0,Y=0.0,Z=0.0)","(X=697.907715,Y=160.467346,Z=-221.611145)","(Pitch=0.0,Yaw=-145.417633,Roll=0.0)","1.0","1.0","(X=0.023405,Y=-0.115921)","(X=-0.042962,Y=-0.115672)","(X=-0.009758,Y=-0.115797)","True"
3,"(X=697.907715,Y=160.467346,Z=-221.611145)","0.4","1.217073",StaticMeshActor_16,"(X=692.418884,Y=150.058716,Z=-187.168747)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.75,Y=1.75,Z=1.75)","(X=3.136474,Y=5.947788,Z=-19.68137)","(X=0.0,Y=0.0,Z=-1.0)","(X=0.0,Y=0.0,Z=0.0)","(X=697.907715,Y=160.467346,Z=-221.611145)","(Pitch=0.0,Yaw=-145.417633,Roll=0.0)","1.0","1.0","(X=0.02712,Y=-0.120057)","(X=-0.018855,Y=-0.114463)","(X=0.004113,Y=-0.117258)","True"
4,"(X=697.907715,Y=160.467346,Z=-221.611145)","0.015338","1.232412",StaticMeshActor_16,"(X=692.418884,Y=150.058716,Z=-187.168747)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.75,Y=1.75,Z=1.75)","(X=3.136474,Y=5.947788,Z=-19.68137)","(X=0.0,Y=0.0,Z=-1.0)","(X=0.0,Y=0.0,Z=0.0)","(X=697.907715,Y=160.467346,Z=-221.611145)","(Pitch=0.0,Yaw=-145.417633,Roll=0.0)","1.0","1.0","(X=0.061784,Y=-0.082443)","(X=0.02355,Y=-0.078965)","(X=0.04263,Y=-0.080701)","True"
5,"(X=598.274536,Y=131.771744,Z=-146.505676)","0.012002","1.244414",StaticMeshActor_158,"(X=621.689026,Y=182.149506,Z=-223.465179)","(Pitch=0.0,Yaw=85.668411,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-52.002316,Y=19.542654,Z=76.959503)","(X=-0.002485,Y=0.012954,Z=0.999913)","(X=-0.885314,Y=-0.295423,Z=-0.359087)","(X=686.581543,Y=161.239136,Z=-110.687973)","(Pitch=-16.062254,Yaw=-165.334015,Roll=3.432345)","1.0","1.0","(X=0.0,Y=0.0)","(X=0.047024,Y=-0.058845)","(X=0.047024,Y=-0.058845)","True"
6,"(X=598.274536,Y=131.771744,Z=-146.505676)","0.023371","1.267785",StaticMeshActor_158,"(X=621.689026,Y=182.149506,Z=-223.465179)","(Pitch=0.0,Yaw=85.668411,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-52.002316,Y=19.542654,Z=76.959503)","(X=-0.002485,Y=0.012954,Z=0.999913)","(X=-0.885314,Y=-0.295423,Z=-0.359087)","(X=686.786377,Y=160.584305,Z=-110.472588)","(Pitch=-14.852416,Yaw=-159.986038,Roll=1.804159)","0.0","0.871716","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
7,"(X=598.274536,Y=131.771744,Z=-146.505676)","0.016748","1.284533",StaticMeshActor_158,"(X=621.689026,Y=182.149506,Z=-223.465179)","(Pitch=0.0,Yaw=85.668411,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-52.002316,Y=19.542654,Z=76.959503)","(X=-0.002485,Y=0.012954,Z=0.999913)","(X=-0.885314,Y=-0.295423,Z=-0.359087)","(X=686.713989,Y=160.834152,Z=-110.534454)","(Pitch=-15.121635,Yaw=-161.793137,Roll=2.275926)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
8,"(X=598.274536,Y=131.771744,Z=-146.505676)","0.047486","1.332019",StaticMeshActor_158,"(X=621.689026,Y=182.149506,Z=-223.465179)","(Pitch=0.0,Yaw=85.668411,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-52.002316,Y=19.542654,Z=76.959503)","(X=-0.002485,Y=0.012954,Z=0.999913)","(X=-0.885314,Y=-0.295423,Z=-0.359087)","(X=686.800354,Y=160.177094,Z=-110.207886)","(Pitch=-12.986047,Yaw=-156.902588,Roll=0.520069)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
9,"(X=598.274536,Y=131.771744,Z=-146.505676)","0.069034","1.401052",StaticMeshActor_158,"(X=621.689026,Y=182.149506,Z=-223.465179)","(Pitch=0.0,Yaw=85.668411,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-52.002316,Y=19.542654,Z=76.959503)","(X=-0.002485,Y=0.012954,Z=0.999913)","(X=-0.885314,Y=-0.295423,Z=-0.359087)","(X=686.772095,Y=160.35524,Z=-110.163689)","(Pitch=-13.079102,Yaw=-158.014908,Roll=0.69321)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
