Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
0,"(X=0.0,Y=0.0,Z=0.0)","0.016667","0.016667",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1,"(X=0.0,Y=0.0,Z=0.0)","0.4","0.416667",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=27.356741,Y=-61.897358,Z=115.317429)","(Pitch=-11.182105,Yaw=113.512749,Roll=0.069883)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
2,"(X=0.0,Y=0.0,Z=0.0)","0.017519","0.434186",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=27.356741,Y=-61.897358,Z=115.317429)","(Pitch=-11.182105,Yaw=113.512749,Roll=0.069883)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
3,"(X=0.0,Y=0.0,Z=0.0)","0.012917","0.447103",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=31.856544,Y=-65.189339,Z=120.523224)","(Pitch=9.440352,Yaw=100.623352,Roll=-1.158417)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
4,"(X=0.0,Y=0.0,Z=0.0)","0.20499","0.652093",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=31.382399,Y=-65.215096,Z=120.97757)","(Pitch=5.257401,Yaw=102.462402,Roll=-0.422333)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
5,"(X=0.0,Y=0.0,Z=0.0)","0.139625","0.791719",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=31.133377,Y=-64.252045,Z=121.800934)","(Pitch=3.888003,Yaw=102.457314,Roll=-1.538696)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
6,"(X=0.0,Y=0.0,Z=0.0)","0.071284","0.863003",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=29.841267,Y=-65.494484,Z=119.0662)","(Pitch=-3.039673,Yaw=105.952187,Roll=-1.034454)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
7,"(X=0.0,Y=0.0,Z=0.0)","0.033803","0.896806",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=28.437103,Y=-69.059555,Z=115.12899)","(Pitch=-19.269342,Yaw=115.633812,Roll=-0.598939)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
8,"(X=0.0,Y=0.0,Z=0.0)","0.011359","0.908165",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=28.357346,Y=-69.331879,Z=115.15435)","(Pitch=-20.762177,Yaw=115.714684,Roll=-0.16867)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
9,"(X=0.0,Y=0.0,Z=0.0)","0.010765","0.91893",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=28.380119,Y=-69.420532,Z=115.082939)","(Pitch=-21.198576,Yaw=115.926857,Roll=-0.073852)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
