Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
0,"(X=452.686737,Y=7.946119,Z=-19.754646)","0.07871","0.07871",StaticMeshActor_107,"(X=471.179413,Y=504.861237,Z=-299.1716)","(Pitch=0.0,Yaw=-89.999542,Roll=0.000687)","(X=2.0,Y=1.75,Z=1.88)","(X=248.457489,Y=-10.57141,Z=148.625931)","(X=-1.0,Y=-0.000008,Z=0.000012)","(X=0.998896,Y=0.017534,Z=-0.04359)","(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","1.0","1.0","(X=0.02141,Y=-0.030568)","(X=0.003176,Y=-0.030544)","(X=0.012291,Y=-0.030556)","True"
1,"(X=634.201233,Y=149.856903,Z=-138.350693)","0.4","0.47871",StaticMeshActor_66,"(X=630.5849,Y=149.847473,Z=-147.605316)","(Pitch=0.0,Yaw=-30.000092,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=3.127119,Y=1.816338,Z=9.254623)","(X=0.997771,Y=0.066002,Z=0.009879)","(X=-0.878662,Y=-0.149549,Z=-0.453417)","(X=682.343201,Y=158.05072,Z=-113.507942)","(Pitch=-27.518763,Yaw=-178.112305,Roll=1.146226)","1.0","1.0","(X=0.094676,Y=0.004097)","(X=0.075182,Y=0.007641)","(X=0.084913,Y=0.005872)","True"
2,"(X=633.836304,Y=151.42337,Z=-138.754684)","0.06367","0.54238",StaticMeshActor_66,"(X=630.5849,Y=149.847473,Z=-147.605316)","(Pitch=0.0,Yaw=-30.000092,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=2.027845,Y=2.990472,Z=8.850632)","(X=0.896564,Y=0.442804,Z=0.009878)","(X=-0.8806,Y=-0.120314,Z=-0.458332)","(X=682.343201,Y=158.05072,Z=-113.507942)","(Pitch=-27.518763,Yaw=-178.112305,Roll=1.146226)","1.0","1.0","(X=0.072284,Y=0.009582)","(X=0.055962,Y=-0.00418)","(X=0.064114,Y=0.002693)","True"
3,"(X=538.309753,Y=-124.200775,Z=-220.611176)","0.4","0.94238",StaticMeshActor_16,"(X=692.418884,Y=150.058716,Z=-187.168747)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.75,Y=1.75,Z=1.75)","(X=-88.062355,Y=-156.719696,Z=-19.109959)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.431436,Y=-0.839365,Z=-0.33065)","(X=685.695068,Y=162.539764,Z=-107.65567)","(Pitch=-1.096491,Yaw=-111.454346,Roll=1.296698)","0.892743","0.964933","(X=-0.062634,Y=-0.23819)","(X=-0.06691,Y=-0.22808)","(X=-0.064776,Y=-0.233125)","True"
4,"(X=602.14386,Y=-48.978821,Z=-181.625183)","0.385767","1.328147",StaticMeshActor_141,"(X=620.634521,Y=-58.782227,Z=-221.754684)","(Pitch=0.0,Yaw=-102.021744,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-5.737123,Y=-20.127014,Z=40.129501)","(X=-0.878969,Y=0.476868,Z=-0.003174)","(X=-0.365547,Y=-0.879775,Z=-0.303927)","(X=688.891296,Y=159.798965,Z=-109.500717)","(Pitch=-9.392487,Yaw=-119.892654,Roll=-7.064185)","0.863187","0.963772","(X=0.076038,Y=-0.111576)","(X=0.070457,Y=-0.115905)","(X=0.073248,Y=-0.11374)","True"
5,"(X=607.228394,Y=-38.650879,Z=-195.59787)","0.4","1.728147",StaticMeshActor_141,"(X=620.634521,Y=-58.782227,Z=-221.754684)","(Pitch=0.0,Yaw=-102.021744,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-16.897579,Y=-17.305122,Z=26.156815)","(X=-0.467642,Y=0.883333,Z=0.032156)","(X=-0.347444,Y=-0.861793,Z=-0.369588)","(X=687.445801,Y=160.318542,Z=-110.267952)","(Pitch=-12.925224,Yaw=-120.057701,Roll=-17.159527)","0.933451","0.960412","(X=0.064954,Y=-0.13925)","(X=0.048817,Y=-0.127065)","(X=0.056865,Y=-0.133142)","True"
6,"(X=512.756226,Y=-185.342941,Z=-220.611176)","0.4","2.128147",StaticMeshActor_16,"(X=692.418884,Y=150.058716,Z=-187.168747)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.75,Y=1.75,Z=1.75)","(X=-102.664368,Y=-191.658081,Z=-19.109959)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.431748,Y=-0.858831,Z=-0.275687)","(X=686.473267,Y=160.214493,Z=-109.686424)","(Pitch=-7.296998,Yaw=-115.716705,Roll=-25.634865)","1.0","1.0","(X=-0.050032,Y=-0.082268)","(X=-0.063646,Y=-0.10116)","(X=-0.056822,Y=-0.091691)","True"
7,"(X=496.083069,Y=-249.910507,Z=-220.611176)","0.08655","2.214697",StaticMeshActor_16,"(X=692.418884,Y=150.058716,Z=-187.168747)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.75,Y=1.75,Z=1.75)","(X=-112.191887,Y=-228.553833,Z=-19.109959)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.406658,Y=-0.881989,Z=-0.23817)","(X=685.365356,Y=160.618881,Z=-109.752899)","(Pitch=-6.328825,Yaw=-115.454536,Roll=-25.770397)","1.0","1.0","(X=-0.033287,Y=-0.079859)","(X=-0.031208,Y=-0.092384)","(X=-0.032249,Y=-0.086116)","True"
8,"(X=530.56366,Y=-114.638885,Z=-182.0513)","0.104581","2.319278",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-53.506966,Y=2.697007,Z=39.703384)","(X=0.028393,Y=0.995851,Z=-0.086453)","(X=-0.479184,Y=-0.848814,Z=-0.223377)","(X=685.752808,Y=160.25946,Z=-109.708061)","(Pitch=-8.809693,Yaw=-118.767883,Roll=-16.516033)","1.0","1.0","(X=-0.02436,Y=-0.044338)","(X=-0.019701,Y=-0.047265)","(X=-0.02203,Y=-0.045802)","True"
9,"(X=489.685852,Y=-146.598862,Z=-186.161011)","0.014447","2.333725",StaticMeshActor_107,"(X=471.179413,Y=504.861237,Z=-299.1716)","(Pitch=0.0,Yaw=-89.999542,Roll=0.000687)","(X=2.0,Y=1.75,Z=1.88)","(X=325.730103,Y=10.571358,Z=60.112129)","(X=1.0,Y=0.000008,Z=-0.000012)","(X=-0.528204,Y=-0.823945,Z=-0.205219)","(X=686.243469,Y=160.011612,Z=-109.793785)","(Pitch=-9.91796,Yaw=-121.695427,Roll=-10.29454)","1.0","1.0","(X=-0.021402,Y=-0.008948)","(X=-0.009788,Y=-0.033259)","(X=-0.015597,Y=-0.021099)","True"
