Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
0,"(X=0.0,Y=0.0,Z=0.0)","0.064629","0.064629",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1,"(X=0.0,Y=0.0,Z=0.0)","0.4","0.464629",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=127.756821,Y=103.55278,Z=114.975105)","(Pitch=-6.042511,Yaw=-178.047592,Roll=-3.636414)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
2,"(X=0.0,Y=0.0,Z=0.0)","0.034722","0.499351",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=127.756821,Y=103.55278,Z=114.975105)","(Pitch=-6.042511,Yaw=-178.047592,Roll=-3.636414)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
3,"(X=-102.033691,Y=137.976532,Z=283.999878)","0.4","0.899351",StaticMeshActor_21,"(X=-200.0,Y=-200.0,Z=305.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=97.966309,Y=337.976532,Z=-21.000122)","(X=0.0,Y=-0.0,Z=-1.0)","(X=-0.816227,Y=0.121516,Z=0.564807)","(X=134.513107,Y=102.760597,Z=120.315811)","(Pitch=40.229485,Yaw=177.009232,Roll=-6.211096)","0.768278","0.786572","(X=-0.048146,Y=-0.065668)","(X=-0.07762,Y=-0.061703)","(X=-0.062859,Y=-0.063689)","True"
4,"(X=-189.00119,Y=105.673523,Z=125.122963)","0.352257","1.251609",StaticMeshActor_2,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=90.000229,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=305.673523,Y=-11.000031,Z=125.122963)","(X=1.0,Y=0.000004,Z=0.0)","(X=-0.999491,Y=0.006636,Z=0.031203)","(X=148.261719,Y=103.434151,Z=114.593948)","(Pitch=-2.369447,Yaw=175.595444,Roll=-0.329712)","0.819196","0.774699","(X=0.064346,Y=0.053284)","(X=0.035021,Y=0.04806)","(X=0.049658,Y=0.050668)","True"
5,"(X=-189.001221,Y=103.396042,Z=103.22821)","0.384827","1.636436",StaticMeshActor_2,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=90.000229,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=303.396057,Y=-11.0,Z=103.22821)","(X=1.0,Y=0.000004,Z=0.0)","(X=-0.999452,Y=0.00078,Z=-0.033084)","(X=146.70343,Y=103.134087,Z=114.340714)","(Pitch=-3.518217,Yaw=177.496048,Roll=0.118273)","0.907116","0.881638","(X=0.044289,Y=0.026258)","(X=0.015798,Y=0.0135)","(X=0.030027,Y=0.019872)","True"
6,"(X=-189.000992,Y=51.457695,Z=81.294174)","0.018307","1.654742",StaticMeshActor_2,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=90.000229,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=251.457672,Y=-11.000015,Z=81.294174)","(X=1.0,Y=0.000004,Z=0.0)","(X=-0.984428,Y=-0.147929,Z=-0.094969)","(X=144.601456,Y=101.587692,Z=113.477066)","(Pitch=-7.021509,Yaw=-173.849457,Roll=-0.197479)","0.868565","0.876479","(X=0.044777,Y=0.02316)","(X=0.013725,Y=0.014964)","(X=0.029234,Y=0.019058)","True"
7,"(X=-189.001038,Y=49.584919,Z=79.466232)","0.015655","1.670397",StaticMeshActor_2,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=90.000229,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=249.584854,Y=-10.999954,Z=79.466232)","(X=1.0,Y=0.000004,Z=0.0)","(X=-0.983119,Y=-0.153146,Z=-0.100112)","(X=144.62262,Y=101.555435,Z=113.439369)","(Pitch=-7.340425,Yaw=-173.586502,Roll=-0.197052)","0.88401","0.884627","(X=0.042742,Y=0.021805)","(X=0.016827,Y=0.016859)","(X=0.029773,Y=0.01933)","True"
8,"(X=-189.000961,Y=38.74707,Z=73.753403)","0.015005","1.685403",StaticMeshActor_2,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=90.000229,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=238.747025,Y=-10.999985,Z=73.753403)","(X=1.0,Y=0.000004,Z=0.0)","(X=-0.976485,Y=-0.181933,Z=-0.115662)","(X=145.074936,Y=100.990158,Z=113.323738)","(Pitch=-8.198699,Yaw=-171.854919,Roll=-0.273193)","0.906216","0.923551","(X=0.042375,Y=0.021675)","(X=0.016366,Y=0.015971)","(X=0.029359,Y=0.01882)","True"
9,"(X=-189.000946,Y=37.014851,Z=74.664032)","0.014193","1.699596",StaticMeshActor_2,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=90.000229,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=237.014801,Y=-11.0,Z=74.664032)","(X=1.0,Y=0.000004,Z=0.0)","(X=-0.975939,Y=-0.186445,Z=-0.113051)","(X=145.178406,Y=100.857155,Z=113.374878)","(Pitch=-8.039488,Yaw=-171.598175,Roll=-0.068817)","0.906216","0.923551","(X=0.042375,Y=0.021675)","(X=0.016366,Y=0.015971)","(X=0.029359,Y=0.01882)","True"
