Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
1266,"(X=-11.054623,Y=-1.788288,Z=75.132813)","0.011371","14.986906",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-2.576557,Y=-6.701878,Z=-1.682755)","(X=0.0,Y=-0.0,Z=1.0)","(X=-0.438996,Y=0.747669,Z=-0.49827)","(X=23.953354,Y=-61.411591,Z=114.867676)","(Pitch=-18.060051,Yaw=122.888947,Roll=-1.688842)","1.0","1.0","(X=-0.001167,Y=-0.143008)","(X=-0.061123,Y=-0.149106)","(X=-0.031064,Y=-0.146049)","True"
1267,"(X=-10.906054,Y=-1.966797,Z=75.132813)","0.011191","14.998096",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-2.427988,Y=-6.880386,Z=-1.682755)","(X=0.0,Y=-0.0,Z=1.0)","(X=-0.438243,Y=0.747138,Z=-0.499728)","(X=23.960264,Y=-61.408546,Z=114.890823)","(Pitch=-17.971491,Yaw=122.848457,Roll=-1.613219)","1.0","1.0","(X=0.000098,Y=-0.146819)","(X=-0.06177,Y=-0.150092)","(X=-0.030764,Y=-0.148452)","True"
1268,"(X=-11.23982,Y=-1.829983,Z=75.132813)","0.01088","15.008976",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-2.761755,Y=-6.743572,Z=-1.682755)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.441119,Y=0.746326,Z=-0.498409)","(X=23.964575,Y=-61.392082,Z=114.909363)","(Pitch=-17.884548,Yaw=122.801399,Roll=-1.54419)","1.0","1.0","(X=0.002956,Y=-0.143667)","(X=-0.059198,Y=-0.153363)","(X=-0.028025,Y=-0.1485)","True"
1269,"(X=-11.127691,Y=-2.05368,Z=75.13282)","0.010825","15.019801",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-2.649626,Y=-6.96727,Z=-1.682747)","(X=0.0,Y=-0.0,Z=1.0)","(X=-0.440986,Y=0.745389,Z=-0.499927)","(X=23.96694,Y=-61.373367,Z=114.918144)","(Pitch=-17.826349,Yaw=122.761322,Roll=-1.456512)","1.0","1.0","(X=0.005122,Y=-0.148397)","(X=-0.059564,Y=-0.152762)","(X=-0.027145,Y=-0.150574)","True"
1270,"(X=-10.948669,Y=-2.0429,Z=75.132813)","0.011213","15.031013",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-2.470604,Y=-6.95649,Z=-1.682755)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.439067,Y=0.746074,Z=-0.500593)","(X=23.95079,Y=-61.345016,Z=114.922714)","(Pitch=-17.768032,Yaw=122.734261,Roll=-1.4122)","1.0","1.0","(X=0.003277,Y=-0.149172)","(X=-0.05984,Y=-0.15464)","(X=-0.028201,Y=-0.151899)","True"
1271,"(X=-10.818966,Y=-2.112247,Z=75.132813)","0.012011","15.043025",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-2.3409,Y=-7.025837,Z=-1.682755)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.438084,Y=0.746135,Z=-0.501363)","(X=23.943607,Y=-61.319084,Z=114.916695)","(Pitch=-17.739769,Yaw=122.708519,Roll=-1.373383)","1.0","1.0","(X=0.003234,Y=-0.149435)","(X=-0.060349,Y=-0.156449)","(X=-0.028469,Y=-0.152932)","True"
1272,"(X=-10.216007,Y=-3.727047,Z=75.591019)","0.010582","15.053607",StaticMeshActor_198,"(X=-8.249088,Y=-14.096711,Z=74.561722)","(Pitch=-1.970359,Yaw=-115.887215,Roll=-179.032303)","(X=0.04,Y=0.04,Z=0.04)","(X=-212.51857,Y=157.71286,Z=-15.775103)","(X=0.005722,Y=0.00042,Z=0.999984)","(X=-0.439884,Y=0.741582,Z=-0.506515)","(X=23.932125,Y=-61.295902,Z=114.911674)","(Pitch=-17.762022,Yaw=122.695984,Roll=-1.364287)","1.0","1.0","(X=0.00761,Y=-0.156823)","(X=-0.058882,Y=-0.157274)","(X=-0.025579,Y=-0.157048)","True"
1273,"(X=-10.279341,Y=-3.770481,Z=75.591385)","0.011465","15.065072",StaticMeshActor_198,"(X=-8.249088,Y=-14.096711,Z=74.561722)","(Pitch=-1.970359,Yaw=-115.887215,Roll=-179.032303)","(X=0.04,Y=0.04,Z=0.04)","(X=-210.851669,Y=158.66423,Z=-15.825546)","(X=0.005722,Y=0.00042,Z=0.999984)","(X=-0.440798,Y=0.741004,Z=-0.506566)","(X=23.924063,Y=-61.268135,Z=114.89798)","(Pitch=-17.801172,Yaw=122.678085,Roll=-1.36786)","1.0","1.0","(X=0.008844,Y=-0.155585)","(X=-0.058179,Y=-0.157606)","(X=-0.024604,Y=-0.156594)","True"
1274,"(X=-10.214949,Y=-4.024719,Z=75.591125)","0.010789","15.075862",StaticMeshActor_198,"(X=-8.249088,Y=-14.096711,Z=74.561722)","(Pitch=-1.970359,Yaw=-115.887215,Roll=-179.032303)","(X=0.04,Y=0.04,Z=0.04)","(X=-205.839111,Y=154.444366,Z=-16.062805)","(X=0.005722,Y=0.00042,Z=0.999984)","(X=-0.441107,Y=0.73976,Z=-0.508113)","(X=23.894064,Y=-61.227333,Z=114.881439)","(Pitch=-17.885704,Yaw=122.65947,Roll=-1.381165)","1.0","1.0","(X=0.009808,Y=-0.155769)","(X=-0.057488,Y=-0.157894)","(X=-0.023777,Y=-0.15683)","True"
1275,"(X=-10.089552,Y=-4.233242,Z=75.590485)","0.012124","15.087986",StaticMeshActor_198,"(X=-8.249088,Y=-14.096711,Z=74.561722)","(Pitch=-1.970359,Yaw=-115.887215,Roll=-179.032303)","(X=0.04,Y=0.04,Z=0.04)","(X=-202.519257,Y=149.350357,Z=-16.247044)","(X=0.005722,Y=0.00042,Z=0.999984)","(X=-0.440718,Y=0.739064,Z=-0.509462)","(X=23.876848,Y=-61.193336,Z=114.855057)","(Pitch=-17.979454,Yaw=122.62973,Roll=-1.386991)","1.0","1.0","(X=0.01006,Y=-0.155644)","(X=-0.057057,Y=-0.15792)","(X=-0.023436,Y=-0.15678)","True"
1276,"(X=-9.879948,Y=-4.554657,Z=75.589417)","0.010102","15.098088",StaticMeshActor_198,"(X=-8.249088,Y=-14.096711,Z=74.561722)","(Pitch=-1.970359,Yaw=-115.887215,Roll=-179.032303)","(X=0.04,Y=0.04,Z=0.04)","(X=-197.580032,Y=141.131424,Z=-16.529093)","(X=0.005722,Y=0.00042,Z=0.999984)","(X=-0.43964,Y=0.738155,Z=-0.511707)","(X=23.832123,Y=-61.157146,Z=114.827652)","(Pitch=-18.093374,Yaw=122.612709,Roll=-1.392518)","1.0","1.0","(X=0.00982,Y=-0.155919)","(X=-0.057112,Y=-0.158557)","(X=-0.023582,Y=-0.157235)","True"
1277,"(X=-9.721563,Y=-4.834732,Z=75.588638)","0.011242","15.10933",StaticMeshActor_198,"(X=-8.249088,Y=-14.096711,Z=74.561722)","(Pitch=-1.970359,Yaw=-115.887215,Roll=-179.032303)","(X=0.04,Y=0.04,Z=0.04)","(X=-193.011566,Y=134.51535,Z=-16.778561)","(X=0.005722,Y=0.00042,Z=0.999984)","(X=-0.439158,Y=0.737197,Z=-0.513498)","(X=23.806631,Y=-61.117188,Z=114.792473)","(Pitch=-18.182119,Yaw=122.613365,Roll=-1.415403)","1.0","1.0","(X=0.009875,Y=-0.156093)","(X=-0.057178,Y=-0.159158)","(X=-0.023585,Y=-0.157622)","True"
1278,"(X=-9.70336,Y=-4.957264,Z=75.588593)","0.010899","15.12023",StaticMeshActor_198,"(X=-8.249088,Y=-14.096711,Z=74.561722)","(Pitch=-1.970359,Yaw=-115.887215,Roll=-179.032303)","(X=0.04,Y=0.04,Z=0.04)","(X=-190.455811,Y=132.770203,Z=-16.894835)","(X=0.005722,Y=0.00042,Z=0.999984)","(X=-0.439344,Y=0.736577,Z=-0.514228)","(X=23.765921,Y=-61.069748,Z=114.762505)","(Pitch=-18.296997,Yaw=122.635002,Roll=-1.432556)","1.0","1.0","(X=0.009774,Y=-0.155288)","(X=-0.056875,Y=-0.158253)","(X=-0.023485,Y=-0.156768)","True"
