Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
1353,"(X=616.56311,Y=-131.351868,Z=-145.062225)","0.011781","16.676188",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=32.917976,Y=-11.654239,Z=76.692459)","(X=-0.001334,Y=0.009443,Z=0.999955)","(X=0.53882,Y=-0.780796,Z=-0.316276)","(X=556.540955,Y=-44.553356,Z=-109.893326)","(Pitch=-1.03784,Yaw=-56.306019,Roll=5.909543)","0.0","0.322105","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1354,"(X=616.56311,Y=-131.351868,Z=-145.062225)","0.010443","16.68663",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=32.917976,Y=-11.654239,Z=76.692459)","(X=-0.001334,Y=0.009443,Z=0.999955)","(X=0.53882,Y=-0.780796,Z=-0.316276)","(X=556.428711,Y=-44.590111,Z=-109.886795)","(Pitch=-1.028654,Yaw=-56.813728,Roll=5.740253)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1355,"(X=616.56311,Y=-131.351868,Z=-145.062225)","0.011332","16.697962",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=32.917976,Y=-11.654239,Z=76.692459)","(X=-0.001334,Y=0.009443,Z=0.999955)","(X=0.53882,Y=-0.780796,Z=-0.316276)","(X=556.31665,Y=-44.6241,Z=-109.889511)","(Pitch=-1.002535,Yaw=-57.319885,Roll=5.590136)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1356,"(X=616.56311,Y=-131.351868,Z=-145.062225)","0.011918","16.709879",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=32.917976,Y=-11.654239,Z=76.692459)","(X=-0.001334,Y=0.009443,Z=0.999955)","(X=0.53882,Y=-0.780796,Z=-0.316276)","(X=556.19635,Y=-44.667683,Z=-109.887817)","(Pitch=-0.976253,Yaw=-57.888035,Roll=5.450339)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1357,"(X=616.56311,Y=-131.351868,Z=-145.062225)","0.010721","16.7206",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=32.917976,Y=-11.654239,Z=76.692459)","(X=-0.001334,Y=0.009443,Z=0.999955)","(X=0.53882,Y=-0.780796,Z=-0.316276)","(X=556.07312,Y=-44.721096,Z=-109.884422)","(Pitch=-0.938017,Yaw=-58.434849,Roll=5.309759)","0.0","0.139852","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1358,"(X=616.56311,Y=-131.351868,Z=-145.062225)","0.011301","16.731901",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=32.917976,Y=-11.654239,Z=76.692459)","(X=-0.001334,Y=0.009443,Z=0.999955)","(X=0.53882,Y=-0.780796,Z=-0.316276)","(X=555.957336,Y=-44.766499,Z=-109.876465)","(Pitch=-0.907076,Yaw=-58.965961,Roll=5.16599)","0.0","0.139852","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1359,"(X=616.56311,Y=-131.351868,Z=-145.062225)","0.010671","16.742573",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=32.917976,Y=-11.654239,Z=76.692459)","(X=-0.001334,Y=0.009443,Z=0.999955)","(X=0.53882,Y=-0.780796,Z=-0.316276)","(X=555.821228,Y=-44.817181,Z=-109.869041)","(Pitch=-0.85559,Yaw=-59.483322,Roll=5.025588)","0.0","0.221984","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1360,"(X=616.56311,Y=-131.351868,Z=-145.062225)","0.011388","16.753962",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=32.917976,Y=-11.654239,Z=76.692459)","(X=-0.001334,Y=0.009443,Z=0.999955)","(X=0.546017,Y=-0.775946,Z=-0.31587)","(X=555.699402,Y=-44.858307,Z=-109.852699)","(Pitch=-0.774748,Yaw=-59.988346,Roll=4.859243)","0.127787","0.221984","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1361,"(X=616.56311,Y=-131.351868,Z=-145.062225)","0.011383","16.765345",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=32.917976,Y=-11.654239,Z=76.692459)","(X=-0.001334,Y=0.009443,Z=0.999955)","(X=0.547068,Y=-0.775187,Z=-0.315913)","(X=555.559814,Y=-44.911114,Z=-109.834885)","(Pitch=-0.696351,Yaw=-60.462021,Roll=4.716911)","0.216621","0.337531","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1362,"(X=616.56311,Y=-131.351868,Z=-145.062225)","0.011141","16.776485",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=32.917976,Y=-11.654239,Z=76.692459)","(X=-0.001334,Y=0.009443,Z=0.999955)","(X=0.548078,Y=-0.774432,Z=-0.316015)","(X=555.431641,Y=-44.973305,Z=-109.814552)","(Pitch=-0.604431,Yaw=-60.95023,Roll=4.597717)","0.283876","0.474037","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
